sign	id	agew_n	heightw_n	weightw_n	want_dietw_n	want_diet_1	id_p_createdw_n	waistw_n	bmi_finalw_n	bmi_1	recentw_n	seoul	metropol	otherregion	company	worker	etcwork	gender	married	d1	d2	d3	d4	loss_up	loss_down	loss_both	d_purpose1	d_purpose2	d_purpose3	diet_food	diet_clinic	20_female	PG01
0	coolnicole	0.48	0.61	0.23	0.20	1	0.99	0.41	0.18	1	0.35	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0
0	yjsi2000	0.32	0.61	0.43	0.48	2	0.00	0.38	0.40	2	0.07	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
0	ans21	0.27	0.39	0.33	0.28	2	1.00	0.57	0.40	2	0.10	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
0	jiminwin	0.00	1.00	1.00	1.00	4	0.01	0.88	0.73	3	0.19	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
0	haemisis	0.48	0.00	0.15	0.24	1	0.07	0.25	0.49	2	0.99	0	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	1	0
0	hahajy	0.32	0.28	0.13	0.28	2	0.58	0.32	0.21	1	0.30	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	life2327	0.32	0.22	0.13	0.24	1	0.00	0.25	0.24	1	0.03	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0
0	encldi	0.00	0.06	0.17	0.20	1	0.00	0.13	0.36	2	0.24	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0
0	choimoon	0.43	0.94	0.40	0.48	2	1.00	0.41	0.21	1	0.02	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0
0	canco33	0.32	1.00	0.27	0.36	2	0.16	0.25	0.03	1	0.36	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0
0	cjhrosa	0.97	0.72	0.37	0.48	2	0.00	0.25	0.28	2	0.00	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0	dudrbs	0.27	0.33	0.00	0.08	1	0.00	0.13	0.02	1	0.19	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0
0	hongc2	0.22	0.22	0.00	0.08	1	0.01	0.41	0.03	1	0.76	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0
0	bhj24	0.05	0.25	0.07	0.08	1	0.00	0.00	0.14	1	0.07	0	1	0	0	0	1	1	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0
0	st2p	0.54	0.39	0.37	0.32	2	0.45	0.50	0.44	2	0.00	1	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0
0	nasilin52	0.27	0.50	0.17	0.24	1	0.17	0.13	0.15	1	0.16	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0
0	gigelove	0.22	1.00	0.57	0.72	3	0.56	0.50	0.26	2	1.00	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	1	0	1	0
0	hjl0410	0.65	0.67	0.23	0.28	2	1.00	0.41	0.15	1	0.65	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0
0	mmymoon	0.27	0.39	0.20	0.12	1	0.00	0.13	0.24	1	0.05	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	0
0	jewel2000	0.70	0.44	0.40	0.44	2	0.77	0.38	0.45	2	0.52	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0
0	parkhr1129	0.75	0.61	0.30	0.20	1	0.02	0.25	0.25	2	0.01	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0
0	9536083	0.32	0.56	0.25	0.28	2	0.00	0.41	0.22	1	0.00	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0
0	aynn	0.32	0.89	0.53	0.56	3	0.00	0.38	0.38	2	0.07	0	0	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	0	1	1	1	0
0	tiamor	0.38	0.56	0.10	0.12	1	0.99	0.13	0.05	1	0.58	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0
0	gangzi	0.27	0.13	0.05	0.08	1	0.00	0.41	0.18	1	0.10	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0
0	handomi	0.43	0.72	0.33	0.36	2	0.72	0.25	0.24	1	0.88	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	0
